gene_id,gene_name,log2FC_3mo,log2FC_18mo,qvalue_18mo,sig_at_18mo,direction_18mo
ENSDARG00000039681,samm50l,-0.1413,0.7857,0.009179,False,not_significant
ENSDARG00000070230,aldh1l2,0.581,0.5554,0.081685,False,not_significant
ENSDARG00000077926,si_dkey-48p11.3,0.618,-0.3743,0.21076,False,not_significant
ENSDARG00000073881,slc41a2b,0.0829,0.1468,0.325934,False,not_significant
ENSDARG00000034375,chst11,0.02,0.7569,0.095215,False,not_significant
ENSDARG00000039185,nfyba,0.0867,-0.0901,0.331505,False,not_significant
ENSDARG00000058127,hcfc2,0.3043,-1.2189,0.01223,True,down_in_MUT
ENSDARG00000045789,srgap1b,0.4696,-1.3434,0.101074,False,not_significant
ENSDARG00000045790,si_ch211-125a15.1,0.3044,-0.8071,0.012179,False,not_significant
ENSDARG00000058159,ipo8,-0.037,-0.092,0.365611,False,not_significant
ENSDARG00000063149,tmtc1,-0.1924,1.0449,0.034642,True,up_in_MUT
ENSDARG00000088044,si_ch73-139j3.4,2.0025,-5.8027,0.007333,True,down_in_MUT
ENSDARG00000091656,lsm8,-0.2188,-0.4675,0.103173,False,not_significant
ENSDARG00000099821,tymp,0.3884,-3.4316,0.203633,False,not_significant
ENSDARG00000063054,shank3b,-0.4168,0.6103,0.17348,False,not_significant
ENSDARG00000075501,cdnf,0.1036,1.5781,0.115517,False,not_significant
ENSDARG00000058030,hspa14,0.39,-1.6103,0.119212,False,not_significant
ENSDARG00000045704,dclre1c,1.5459,-4.9282,2e-06,True,down_in_MUT
ENSDARG00000033179,tmem243b,0.0875,-5.9373,0.005934,True,down_in_MUT
ENSDARG00000025824,dmtf1,0.1465,0.231,0.360178,False,not_significant
ENSDARG00000045706,tspan9b,0.2071,-0.1976,0.342749,False,not_significant
ENSDARG00000094732,mical3b,0.3622,-1.5774,0.026509,True,down_in_MUT
ENSDARG00000057983,svopl,1.4289,-2.89,,False,not_significant
ENSDARG00000063008,si_dkeyp-27e10.3,0.2207,-0.5328,0.260016,False,not_significant
ENSDARG00000057974,parp12b,-0.2457,0.6044,0.104444,False,not_significant
ENSDARG00000003570,hsp90b1,0.1613,-1.0783,,False,not_significant
ENSDARG00000057942,glt8d2,0.7728,-0.4867,0.223667,False,not_significant
ENSDARG00000062983,fbxo18,0.6356,-0.9194,0.004781,False,not_significant
ENSDARG00000045708,adm2a,1.2207,1.003,0.098547,False,not_significant
ENSDARG00000057921,ccdc136b,-0.2827,0.0919,0.358175,False,not_significant
ENSDARG00000018820,flncb,-0.3124,0.6861,0.014327,False,not_significant
