source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
KEGG,KEGG:00590,Arachidonic acid metabolism,0.02755571713234454,True,Arachidonic acid metabolism,52,21,3,6524,0.14285714285714285,0.057692307692307696,query_1,['KEGG:00000'],"['ENSDARG00000004539', 'ENSDARG00000042090', 'ENSDARG00000056535']","[['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:04370,VEGF signaling pathway,0.027713310329393982,True,VEGF signaling pathway,66,21,3,6524,0.14285714285714285,0.045454545454545456,query_1,['KEGG:00000'],"['ENSDARG00000004539', 'ENSDARG00000042090', 'ENSDARG00000056535']","[['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:00592,alpha-Linolenic acid metabolism,0.028766219552302692,True,alpha-Linolenic acid metabolism,21,21,2,6524,0.09523809523809523,0.09523809523809523,query_1,['KEGG:00000'],"['ENSDARG00000042090', 'ENSDARG00000056535']","[['KEGG'], ['KEGG']]"
KEGG,KEGG:00220,Arginine biosynthesis,0.028766219552302692,True,Arginine biosynthesis,23,21,2,6524,0.09523809523809523,0.08695652173913043,query_1,['KEGG:00000'],"['ENSDARG00000026925', 'ENSDARG00000020028']","[['KEGG'], ['KEGG']]"
REAC,REAC:R-DRE-1502540,Signaling by Activin,0.02915495134924903,True,Signaling by Activin,7,12,2,2909,0.16666666666666666,0.2857142857142857,query_1,['REAC:R-DRE-9006936'],"['ENSDARG00000040777', 'ENSDARG00000036096']","[['REAC'], ['REAC']]"
KEGG,KEGG:00591,Linoleic acid metabolism,0.034051428143039714,True,Linoleic acid metabolism,28,21,2,6524,0.09523809523809523,0.07142857142857142,query_1,['KEGG:00000'],"['ENSDARG00000042090', 'ENSDARG00000056535']","[['KEGG'], ['KEGG']]"
