gene_id,gene_name,q1_log2FC,q1_sig,q2_log2FC,q2_sig,direction,tf_family,biotype
ENSDARG00000040190,qdpra,-2.372,0.0027921888410586,2.866,0.0090234226276378,OPPOSITE,-,protein_coding
ENSDARG00000103342,wu_fa56d06,-3.403,0.0029945453318177,6.09,0.0017531324868751,OPPOSITE,-,protein_coding
ENSDARG00000093584,zgc_193505,2.33,0.0031389894763917,-4.378,0.013914342958489,OPPOSITE,-,protein_coding
ENSDARG00000018459,msrb2,-2.378,0.0033179342858219,4.731,0.0005816688621908,OPPOSITE,-,protein_coding
ENSDARG00000019772,si_ch1073-280e3.1,-2.719,0.0033222889686415,4.611,0.0062962722972202,OPPOSITE,-,protein_coding
ENSDARG00000095963,si_ch73-361h17.1,-4.22,0.0033486779164751,6.15,0.0322988617002659,OPPOSITE,-,protein_coding
ENSDARG00000052207,c3a.3,-2.726,0.0034441414044507,5.644,0.0081077992114607,OPPOSITE,-,protein_coding
ENSDARG00000006341,tas1r3,-3.506,0.0037540315719987,7.37,0.0001532699089888,OPPOSITE,-,protein_coding
ENSDARG00000006588,zgc_111983,2.189,0.0039044170972094,-5.128,0.0038907086464519,OPPOSITE,-,protein_coding
ENSDARG00000034862,f7,-3.212,0.0042001314932048,9.645,1.1636494143236497e-05,OPPOSITE,-,protein_coding
ENSDARG00000094524,si_ch211-1f22.11,4.301,0.0042156265099169,-6.818,7.62106572945759e-05,OPPOSITE,-,protein_coding
ENSDARG00000100844,cldn15lb,-2.898,0.0042390851394328,9.299,1.9557483044528925e-06,OPPOSITE,-,protein_coding
ENSDARG00000003411,foxa2,-3.805,0.0043061537697496,5.4,0.0362581239922478,OPPOSITE,Fork head,protein_coding
ENSDARG00000016412,agt,-3.384,0.0043481106152445,6.271,2.055238934346587e-05,OPPOSITE,-,protein_coding
ENSDARG00000073786,cmbl,1.426,0.0043711178212232,1.856,0.0376707681757775,SAME,-,protein_coding
ENSDARG00000006220,ugt1ab,-2.167,0.0046660519591514,3.773,0.0017489238553657,OPPOSITE,-,protein_coding
ENSDARG00000071429,tdo2a,-3.12,0.0048445907641034,6.946,3.2015329245970695e-06,OPPOSITE,-,protein_coding
ENSDARG00000053620,ebi3,-2.283,0.005019366422176,7.078,0.0058588450858736,OPPOSITE,-,protein_coding
ENSDARG00000104172,diabloa,-1.57,0.0055321325760959,3.089,0.0123562552047808,OPPOSITE,-,protein_coding
ENSDARG00000105052,cfhl5,-3.398,0.0055640439459689,6.598,0.0048594742785612,OPPOSITE,-,protein_coding
