,q1_activity,q1_pval,age_activity,age_pval,sig_q1,sig_age,sig_both,same_direction
SIN3A,-0.6263447119774004,0.8111763596534729,-1.8550944871640285,0.36278119683265686,False,False,False,True
ENO1,-0.6166345855516139,0.8116695880889893,-0.710827415544586,0.8026222586631775,False,False,False,True
NR4A2,-0.6126005159008512,0.8116695880889893,-0.9693700073974406,0.7204973101615906,False,False,False,True
TRPS1,-0.6108449989421918,0.8116695880889893,-0.7198845197578763,0.8021367788314819,False,False,False,True
ZNF202,-0.6080556092635239,0.8116695880889893,-4.619998859074637,0.0003591137647163123,False,True,False,True
FOXN4,-0.6079601907808132,0.8116695880889893,-0.47760876351154413,0.8871720433235168,False,False,False,True
HIC1,-0.602018251348491,0.8120758533477783,0.5155051582524812,0.8830636143684387,False,False,False,False
NKX6-1,-0.5930546199237386,0.8180127739906311,3.3611288093457308,0.018736582249403,False,True,False,False
JARID2,-0.5880840131233931,0.8199042081832886,0.44789601574847054,0.8961728811264038,False,False,False,False
NFE2,-0.5861443154115084,0.8199042081832886,1.5647119938625738,0.4889094829559326,False,False,False,False
NUPR1,-0.5796365932485134,0.8226297497749329,-1.4788076448536511,0.5157152414321899,False,False,False,True
SMARCC1,-0.5727883265472564,0.8242184519767761,0.24065086674681951,0.9463640451431274,False,False,False,False
