source,target,mor,target_stat
HSF1,HSPB1,1.0,2.457998379496795
SPI1,PAX5,1.0,-2.2124745733713835
SMAD3,TGFB1,1.0,3.022154808637843
RUNX1,RUNX1,1.0,3.3143319516379544
RARA,SLC10A1,1.0,-2.939438947345294
MYB,ATP2B1,1.0,-9.467167507051672
SP1,ST6GALNAC3,1.0,2.414552256618275
ESR1,LTF,1.0,-2.1380221533195445
TP53,MAF,1.0,4.4821166953331355
SP1,PKM,1.0,2.782952239855977
SP1,EPHB2,1.0,-5.297389676757354
CEBPB,TNF,1.0,2.941879845906474
RELA,GC,1.0,-3.4018507709393875
SP1,GJB1,1.0,2.2339521817787924
SP1,SLC5A1,1.0,2.322494039712196
SP1,COL1A2,1.0,3.4818647675982857
SRF,NR4A1,1.0,3.1465592465857655
SP1,AR,1.0,3.159246454108278
HIF1A,CP,1.0,-2.52557486392709
ATF2,CCNA2,1.0,-7.72999844065542
TFDP1,CD74,1.0,3.67163172498388
ATF4,CREBBP,1.0,-2.7490730345206087
JUND,CEBPZ,1.0,-2.5066861823042736
STAT3,CDKN2D,1.0,-5.084004328281759
EGR1,FN1,1.0,3.453844507751022
EGR1,TGFB1,1.0,3.022154808637843
SP1,TNFRSF8,1.0,3.243721648061006
CEBPB,COL1A1,1.0,3.443186665818423
SMAD3,COL1A2,1.0,3.4818647675982857
SMAD4,COL1A2,1.0,3.4818647675982857
MYOD1,RB1,1.0,-3.3596036438931587
CEBPB,CREBBP,1.0,-2.7490730345206087
SMAD4,TGFB1,1.0,3.022154808637843
SP1,LTF,1.0,-2.1380221533195445
ETS1,CSNK2A1,1.0,-4.358973438591382
SP1,CSNK2A1,1.0,-4.358973438591382
ESR1,UGT1A1,1.0,-3.1138787628268316
STAT3,AGT,1.0,-3.1403708066699907
EGR1,KLF5,1.0,3.865769941703971
SPI1,MMP2,-1.0,3.059795577702193
SP1,TGM1,1.0,4.292842854104014
CEBPB,HSD11B1,1.0,-2.1719030129856467
ATF2,INS,1.0,-3.1429458172706743
CREB1,INS,1.0,-3.1429458172706743
E2F1,TYMS,1.0,-5.039940289592766
NFKB1,CSF1,1.0,2.291847031312138
ESR1,PTMA,-1.0,-3.699363718892213
CREB1,AANAT,1.0,-3.6598357628378824
SP1,MYBL1,1.0,-3.8830754391815647
NFATC2,TNF,1.0,2.941879845906474
CREB1,CCK,1.0,-2.091242525966912
SPI1,G6PC1,1.0,2.4166717846933956
SP1,PTN,1.0,-2.4241401043469866
JUN,ALOX12,1.0,2.504893565650051
SP1,ALOX12,1.0,2.504893565650051
MEF2A,AKT1,1.0,2.345211714691306
MYOD1,AKT1,1.0,2.345211714691306
SP1,APRT,1.0,-2.2672600728416588
SP1,CD44,1.0,2.8811164317084033
JUN,ATF3,1.0,4.459327535450048
ATF2,ATF3,1.0,4.459327535450048
SP1,ESR1,1.0,-2.4381889131823837
SP1,CD34,1.0,3.1949354648255337
MEF2C,MYH7,1.0,-2.6837883225749013
ESR1,KRT19,1.0,4.048993037388214
STAT3,TNF,-1.0,2.941879845906474
ESR1,AKT1,1.0,2.345211714691306
E2F4,CDK1,1.0,-6.596641118498787
NFKB1,IL1B,1.0,3.2461824392939853
