,gene_name,log2FC_full,log2FC_reduced,qvalue_full,qvalue_reduced,sig_full,sig_reduced,same_direction
ENSDARG00000063916,mt-nd4l,-2.0956845635529238,-1.8251550508672163,0.21591029042859658,1.7128792682269385e-06,False,True,True
ENSDARG00000026548,cyp2u1,1.5625498894125291,1.89063020055961,0.21591029042859658,0.01605305758836559,False,True,True
ENSDARG00000073812,or131-2,3.881510200523844,4.288025357058665,0.21591029042859658,0.0058612178760561965,False,True,True
ENSDARG00000038728,ch25hl2,2.396672588088527,2.6734120028306374,0.2165295066859572,0.025215583632320047,False,True,True
ENSDARG00000036481,tcn2,1.4717627216807256,1.6799408271508134,0.2165295066859572,0.013291029779445825,False,True,True
ENSDARG00000068114,f11r.2,4.469233012931551,7.120651795456438,0.2165295066859572,0.020282463609124037,False,True,True
ENSDARG00000075147,lrrc38a,-2.8152659091868406,-2.4451380899633763,0.2165295066859572,0.03968762716523948,False,True,True
ENSDARG00000020328,plekha6,1.7043031443181778,2.0554690588325477,0.2165295066859572,0.009756153214129273,False,True,True
ENSDARG00000098950,si_dkeyp-92c9.4,-3.08217803743959,-6.153722590925495,0.2167383819520678,0.03805145178058493,False,True,True
ENSDARG00000031618,unm_sa1261,2.280710590327531,2.707708127985315,0.2174077024352567,0.0124318032454409,False,True,True
ENSDARG00000097571,si_dkey-114l24.2,7.895114719352603,8.02255539009426,0.218489663456025,0.01861426799430365,False,True,True
ENSDARG00000115636,CT030160.1,-1.914466501632717,-1.6839406310676734,0.2195527369014962,0.00031337186779082906,False,True,True
ENSDARG00000076270,adamts13,4.64317924943927,4.870309601775082,0.22247105213966029,0.007472599180464554,False,True,True
ENSDARG00000099371,cygb1,1.4785497980804463,1.5244715645333724,0.2225191731644867,0.006660256343020081,False,True,True
ENSDARG00000005541,wif1,2.53494540945875,2.661542150850334,0.2260998099914765,0.014628065074621823,False,True,True
ENSDARG00000054319,oxct1b,2.9784090963866925,3.362356011411688,0.2260998099914765,0.0006949273413711298,False,True,True
ENSDARG00000055481,atf7b,-1.6664703550499311,-1.8700067977563626,0.22940155786449623,2.8507192090224995e-06,False,True,True
ENSDARG00000054753,col10a1a,3.3360027514101045,3.5995604718655936,0.22940155786449623,0.0025092667793604907,False,True,True
ENSDARG00000101997,si_dkey-191j3.2,2.2176565252557934,2.5232873260832216,0.23046866652129366,0.0004878050868610203,False,True,True
ENSDARG00000090889,si_ch211-132p1.3,2.244380655250326,2.473928849542357,0.23240578578120583,0.009425371573051547,False,True,True
ENSDARG00000058672,nuggc.3,-2.93925058096852,-2.705056319417391,0.23944148475221433,0.03632443121622774,False,True,True
